Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771879388,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771879389,50,,Aggregated,0.000000,0.000000,500,500,500,500,510,510,510,510,510,510,510,50,0,500.0,492.802297859962,284.0684209995743,511.3537010001892,77.74
1771879390,100,,Aggregated,0.000000,0.000000,400,490,500,500,500,510,510,510,510,510,510,102,0,400.0,434.65479912738016,126.29630499941413,511.3537010001892,73.86274509803921
1771879391,150,,Aggregated,0.000000,0.000000,390,400,490,490,500,500,510,510,510,510,510,162,0,390.0,409.4737593826339,119.41692599975795,511.3537010001892,75.49382716049382
1771879392,200,,Aggregated,25.000000,0.000000,390,390,400,490,500,500,510,510,510,510,510,233,0,390.0,396.73829062226525,119.41692599975795,511.3537010001892,76.14592274678111
1771879393,250,,Aggregated,34.000000,0.000000,390,460,500,500,510,510,520,520,520,520,520,306,0,390.0,414.38859080714786,119.41692599975795,524.5190910000019,77.20915032679738
1771879394,300,,Aggregated,40.500000,0.000000,390,490,500,500,510,510,520,520,520,520,520,393,0,390.0,421.35319723151866,119.41692599975795,524.5190910000019,76.26972010178118
1771879395,350,,Aggregated,46.600000,0.000000,410,490,490,500,510,510,520,520,520,520,520,485,0,410.0,424.1472368886384,119.41692599975795,524.5190910000019,76.14020618556701
1771879396,400,,Aggregated,51.000000,0.000000,440,490,490,500,510,510,520,520,540,540,540,597,0,440.0,427.2904067219265,119.41692599975795,543.6320090002482,75.31490787269682
1771879397,450,,Aggregated,56.142857,0.000000,460,490,500,500,510,520,530,540,540,540,540,701,0,460.0,430.77208967330455,119.41692599975795,543.6320090002482,74.84593437945792
1771879398,500,,Aggregated,60.625000,0.000000,460,490,500,500,520,560,570,580,580,580,580,841,0,460.0,436.88939556360344,119.41692599975795,583.1866339995031,74.70986920332938
1771879399,550,,Aggregated,66.333333,0.000000,440,490,500,500,520,560,570,570,580,580,580,983,0,440.0,431.06425266428624,119.41692599975795,583.1866339995031,74.57477110885046
1771879400,600,,Aggregated,71.900000,0.000000,450,490,500,500,520,560,570,580,590,600,600,1120,0,450.0,434.3829841258868,119.41692599975795,597.4988090001716,74.71428571428571
1771879401,650,,Aggregated,84.100000,0.000000,460,490,500,510,550,580,660,660,670,670,670,1306,0,460.0,444.1620219953969,119.41692599975795,670.2508280004622,74.6937212863706
1771879402,700,,Aggregated,93.300000,0.000000,470,500,510,510,570,590,660,660,670,670,670,1451,0,470.0,449.9687814913778,119.41692599975795,670.2508280004622,74.7842866988284
1771879403,750,,Aggregated,106.300000,0.000000,480,500,530,560,660,800,830,880,1000,1000,1000,1624,0,480.0,481.3987977604601,119.41692599975795,1004.9199469995074,74.92426108374384
1771879404,800,,Aggregated,114.400000,0.000000,480,500,530,560,650,800,830,870,1000,1000,1000,1808,0,480.0,483.1552918899282,119.41692599975795,1004.9199469995074,74.62610619469027
1771879405,850,,Aggregated,121.800000,0.000000,480,500,530,560,650,760,830,870,990,1000,1000,2003,0,480.0,485.2789665576596,119.41692599975795,1004.9199469995074,74.3554667998003
1771879406,900,,Aggregated,131.800000,0.000000,480,500,540,560,650,730,820,870,990,1000,1000,2220,0,480.0,482.8765521400865,119.41692599975795,1004.9199469995074,74.2981981981982
1771879407,950,,Aggregated,141.500000,0.000000,480,510,550,570,660,710,820,860,990,1000,1000,2464,0,480.0,489.39820388554807,119.41692599975795,1004.9199469995074,74.38027597402598
1771879408,1000,,Aggregated,151.800000,0.000000,490,510,560,580,660,700,820,840,990,1000,1000,2626,2,490.0,493.2586972852168,8.544496000467916,1004.9199469995074,74.3046458492003
1771879409,1050,,Aggregated,162.300000,0.000000,480,510,560,580,660,690,820,840,990,1000,1000,2918,56,480.0,483.64525262234156,0.715524000042933,1004.9199469995074,72.77621658670323
1771879410,1100,,Aggregated,174.700000,0.200000,480,510,550,570,660,690,820,840,980,1000,1000,3155,113,480.0,473.410016640251,0.561718000426481,1004.9199469995074,71.54294770206022
1771879411,1150,,Aggregated,186.600000,2.500000,480,510,560,580,660,690,810,830,980,1000,1000,3400,174,480.0,469.74051453088134,0.561718000426481,1004.9199469995074,70.49029411764705
1771879412,1200,,Aggregated,198.600000,10.700000,480,510,550,570,650,690,810,830,980,1000,1000,3756,248,480.0,460.7241959584659,0.561718000426481,1004.9199469995074,69.2409478168264
1771879413,1250,,Aggregated,201.100000,11.300000,480,510,560,580,660,700,820,840,980,1000,1000,3888,331,480.0,455.04047040149106,0.5359010001484421,1004.9199469995074,67.90149176954732
1771879414,1300,,Aggregated,214.500000,22.500000,470,510,550,570,660,690,820,840,980,1000,1000,3971,414,470.0,445.748125905061,0.5359010001484421,1004.9199469995074,66.48224628557038
1771879415,1350,,Aggregated,230.500000,24.800000,480,540,590,640,810,1500,1800,2000,2100,2100,2100,4535,505,480.0,529.4760726403491,0.4894280000371509,2142.5143440001193,65.85512679162073
1771879416,1400,,Aggregated,231.400000,38.100000,480,530,580,620,780,1400,1800,1900,2100,2100,2100,4891,610,480.0,515.0714997716188,0.4894280000371509,2142.5143440001193,64.95113473727254
1771879417,1450,,Aggregated,223.600000,41.400000,470,520,570,620,750,1300,1800,1900,2100,2100,2100,5145,742,470.0,499.29555220952153,0.4894280000371509,2142.5143440001193,63.52089407191448
1771879418,1500,,Aggregated,254.300000,51.600000,470,520,570,600,720,1200,1800,1900,2100,2100,2100,5547,869,470.0,486.3939854294194,0.4894280000371509,2142.5143440001193,62.83847124571841
1771879420,1500,,Aggregated,271.200000,65.100000,460,510,560,590,700,1200,1800,1900,2100,2100,2100,5820,952,460.0,478.16210708230176,0.4894280000371509,2142.5143440001193,62.35292096219931
1771879421,1500,,Aggregated,269.600000,74.000000,460,510,560,590,690,1000,1700,1900,2100,2100,2100,6224,1049,460.0,471.92990192384264,0.4894280000371509,2142.5143440001193,61.9741323907455
1771879422,1500,,Aggregated,284.200000,84.600000,460,510,560,580,680,990,1700,1900,2100,2100,2100,6501,1141,460.0,465.2432725437618,0.4894280000371509,2142.5143440001193,61.357175819104754
1771879423,1500,,Aggregated,304.800000,93.600000,460,510,560,580,680,920,1700,1900,2100,2100,2100,6792,1231,460.0,458.7100788024128,0.4894280000371509,2142.5143440001193,60.85438751472321
1771879424,1500,,Aggregated,305.000000,91.600000,460,510,550,580,670,890,1700,1900,2100,2100,2100,7020,1324,460.0,453.1570909334729,0.4894280000371509,2142.5143440001193,60.326353276353274
1771879425,1500,,Aggregated,303.400000,98.100000,460,520,570,590,700,940,1700,1900,2100,2100,2100,7484,1408,460.0,459.1041162044345,0.4894280000371509,2142.5143440001193,60.243319080705504
1771879426,1500,,Aggregated,308.100000,94.200000,460,510,560,590,690,920,1700,1900,2100,2100,2100,7777,1501,460.0,453.69587724430875,0.4894280000371509,2142.5143440001193,59.932879002185935
1771879427,1500,,Aggregated,335.900000,99.200000,460,510,560,590,680,910,1700,1900,2100,2100,2100,8104,1594,460.0,449.3891136437559,0.4894280000371509,2142.5143440001193,59.79096742349457
1771879428,1500,,Aggregated,322.900000,98.300000,460,510,560,580,680,880,1600,1900,2100,2100,2100,8415,1676,460.0,446.4843137673217,0.4894280000371509,2142.5143440001193,59.600237670825905
1771879429,1500,,Aggregated,316.800000,93.900000,450,510,560,580,670,870,1600,1900,2100,2100,2100,8792,1751,450.0,443.7093721752746,0.4894280000371509,2142.5143440001193,59.53912647861692
1771879430,1500,,Aggregated,325.100000,93.200000,450,510,560,580,670,860,1600,1800,2100,2100,2100,9089,1826,450.0,440.7332906515582,0.4894280000371509,2142.5143440001193,59.44504345912642
1771879431,1500,,Aggregated,318.100000,87.400000,450,510,560,580,670,850,1600,1800,2100,2100,2100,9361,1894,450.0,437.9991767670145,0.4894280000371509,2142.5143440001193,59.29964747356052
1771879432,1500,,Aggregated,326.600000,87.100000,450,510,550,580,660,840,1600,1800,2100,2100,2100,9736,1988,450.0,434.68582526602586,0.4894280000371509,2142.5143440001193,59.22401396877568
1771879433,1500,,Aggregated,313.600000,84.400000,450,510,560,580,670,850,1600,1800,2100,2100,2100,9974,2069,450.0,434.66667604281406,0.4894280000371509,2142.5143440001193,59.025065169440545
1771879434,1500,,Aggregated,317.000000,84.300000,450,520,560,580,680,870,1600,1800,2100,2100,2100,10375,2144,450.0,438.37225325301443,0.4894280000371509,2142.5143440001193,59.010409638554215
1771879435,1500,,Aggregated,318.200000,83.800000,450,520,560,580,670,860,1600,1800,2100,2100,2100,10688,2231,450.0,435.68265738351505,0.4894280000371509,2142.5143440001193,58.797904191616766
1771879436,1500,,Aggregated,328.000000,81.600000,450,520,560,580,670,860,1500,1800,2100,2100,2100,10995,2293,450.0,434.7519406330156,0.4894280000371509,2142.5143440001193,58.78290131878126
1771879437,1500,,Aggregated,319.800000,81.400000,450,510,560,580,670,840,1500,1800,2100,2100,2100,11310,2367,450.0,432.86222409840786,0.4894280000371509,2142.5143440001193,58.67727674624226
1771879438,1500,,Aggregated,321.600000,79.000000,450,510,560,580,660,840,1500,1800,2100,2100,2100,11620,2442,450.0,430.92334801023947,0.4894280000371509,2142.5143440001193,58.58132530120482
1771879439,1500,,Aggregated,320.300000,77.000000,450,510,560,580,660,830,1400,1800,2100,2100,2100,11958,2504,450.0,429.61521204808486,0.4894280000371509,2142.5143440001193,58.60026760327814
1771879440,1500,,Aggregated,320.300000,76.400000,450,510,560,580,660,830,1400,1800,2100,2100,2100,12262,2570,450.0,428.3950294203217,0.4894280000371509,2142.5143440001193,58.6008807698581
1771879441,1500,,Aggregated,315.400000,75.300000,450,510,560,580,660,820,1400,1700,2100,2100,2100,12491,2641,450.0,426.6633267918489,0.4894280000371509,2142.5143440001193,58.4934753022176
1771879442,1500,,Aggregated,316.900000,74.000000,450,520,560,590,670,860,1400,1700,2100,2100,2100,12829,2718,450.0,432.16677717164157,0.4894280000371509,2142.5143440001193,58.51383584067347
1771879443,1500,,Aggregated,312.500000,74.200000,450,520,560,590,670,860,1300,1700,2100,2100,2100,13236,2794,450.0,431.830098232547,0.4894280000371509,2142.5143440001193,58.59647929888184
1771879444,1500,,Aggregated,315.400000,73.000000,450,520,560,580,670,850,1300,1700,2100,2100,2100,13490,2865,450.0,429.9147408607846,0.4894280000371509,2142.5143440001193,58.515344699777614
1771879445,1500,,Aggregated,318.800000,72.100000,450,520,560,590,670,850,1300,1700,2100,2100,2100,13814,2926,450.0,430.01692509265905,0.4894280000371509,2142.5143440001193,58.55494425944694
1771879446,1500,,Aggregated,318.500000,72.000000,450,520,560,590,670,840,1200,1700,2100,2100,2100,14150,2993,450.0,429.82729262098826,0.4894280000371509,2142.5143440001193,58.545017667844526
1771879447,1500,,Aggregated,320.700000,70.000000,450,520,560,580,670,830,1200,1700,2100,2100,2100,14439,3058,450.0,428.47078423221654,0.4894280000371509,2142.5143440001193,58.54442828450724
1771879448,1500,,Aggregated,315.200000,69.700000,450,520,560,580,660,830,1100,1700,2100,2100,2100,14807,3124,450.0,427.9077659644069,0.4894280000371509,2142.5143440001193,58.641655973526035
1771879449,1500,,Aggregated,313.200000,69.400000,450,520,560,580,660,820,1100,1700,2100,2100,2100,15080,3184,450.0,426.7374155195607,0.4894280000371509,2142.5143440001193,58.59973474801061
1771879450,1500,,Aggregated,312.000000,68.200000,460,520,570,590,680,860,1100,1700,2100,2100,2100,15402,3252,460.0,430.84351948097645,0.4894280000371509,2142.5143440001193,58.60057135436956
1771879451,1500,,Aggregated,319.000000,68.000000,450,520,560,590,670,850,1100,1700,2100,2100,2100,15688,3331,450.0,429.20316430609427,0.4894280000371509,2142.5143440001193,58.5219913309536
1771879452,1500,,Aggregated,295.600000,68.600000,460,520,560,590,670,840,1100,1700,2100,2100,2100,15992,3389,460.0,428.8476952484374,0.4894280000371509,2142.5143440001193,58.57403701850925
1771879453,1500,,Aggregated,319.400000,68.700000,450,520,560,590,670,840,1100,1700,2100,2100,2100,16359,3459,450.0,427.96459933284507,0.4894280000371509,2142.5143440001193,58.62210404058928
1771879454,1500,,Aggregated,316.300000,67.100000,460,520,560,590,670,830,1100,1600,2100,2100,2100,16606,3515,460.0,427.71111095357224,0.4894280000371509,2142.5143440001193,58.575635312537635
1771879455,1500,,Aggregated,311.800000,66.800000,460,520,560,590,670,830,1100,1600,2100,2100,2100,17022,3592,460.0,427.3158775202698,0.4894280000371509,2142.5143440001193,58.698801550934085
1771879456,1500,,Aggregated,312.000000,65.400000,460,520,560,580,660,830,1100,1600,2100,2100,2100,17310,3664,460.0,426.20060161005273,0.4894280000371509,2142.5143440001193,58.690641247833625
1771879457,1500,,Aggregated,313.200000,66.700000,450,520,560,580,660,820,1100,1600,2100,2100,2100,17597,3734,450.0,424.9504404361543,0.4894280000371509,2142.5143440001193,58.57083593794397
1771879458,1500,,Aggregated,315.900000,67.000000,450,520,560,590,670,830,1000,1600,2100,2100,2100,17752,3808,450.0,424.9085012694912,0.4894280000371509,2142.5143440001193,58.370549797205946
1771879459,1500,,Aggregated,315.200000,67.000000,460,520,570,590,680,880,1600,1900,2200,2200,2200,17984,3869,460.0,437.64127808874565,0.4894280000371509,2232.01349700048,58.33029359430605
1771879460,1500,,Aggregated,300.800000,68.000000,460,530,570,600,720,970,1700,1900,2200,2200,2200,18429,3930,460.0,453.60557656047587,0.4894280000371509,2232.01349700048,58.52346844647024
1771879461,1500,,Aggregated,273.000000,68.200000,460,530,570,600,710,970,1700,1900,2200,2200,2200,18725,3984,460.0,453.16754832181545,0.4894280000371509,2232.01349700048,58.59182910547396
1771879462,1500,,Aggregated,320.900000,67.200000,460,530,570,600,710,960,1700,1900,2200,2200,2200,19020,4049,460.0,451.446539628391,0.4894280000371509,2232.01349700048,58.595741324921136
1771879463,1500,,Aggregated,304.500000,66.100000,460,530,570,600,700,960,1700,1900,2200,2200,2200,19342,4117,460.0,450.34685358964987,0.4894280000371509,2232.01349700048,58.57103712129046
1771879464,1500,,Aggregated,295.000000,65.200000,460,530,570,600,700,950,1700,1900,2200,2200,2200,19649,4182,460.0,449.30545900223933,0.4894280000371509,2232.01349700048,58.58776528067586
